method,split,cdr_type,aar,caar,ppl,rmsd,tm_score,fnat,irmsd,dockq,epitope_f1,n_liabilities,chimera_s,chimera_b
abode,epitope_group,H2,0.56±0.24,0.29±0.37,5.72±3.53,6.69±0.55,0.02±0.00,0.16±0.27,2.56±1.54,0.35±0.28,0.54±0.41,0.77±0.80,0.21±0.11,0.32±0.24
diffab,epitope_group,H2,0.29±0.17,0.16±0.24,0.00±0.00,0.67±0.50,0.53±0.19,0.55±0.41,0.68±0.59,0.64±0.39,0.84±0.27,0.45±0.53,0.59±0.16,0.58±0.21
dyab,epitope_group,H2,0.32±0.10,0.15±0.20,1.01±0.00,1.82±0.21,0.10±0.02,0.39±0.36,1.22±0.60,0.54±0.33,0.72±0.34,1.99±0.08,0.42±0.11,0.47±0.23
dymean,epitope_group,H2,0.65±0.22,0.43±0.39,1.59±0.29,0.99±0.37,0.32±0.10,0.54±0.42,0.96±1.03,0.62±0.39,0.79±0.33,0.53±0.66,0.52±0.14,0.56±0.24
mean,epitope_group,H2,0.59±0.19,0.39±0.36,1.89±0.31,0.83±0.38,0.41±0.14,0.55±0.40,0.59±0.37,0.65±0.39,0.85±0.26,0.45±0.59,0.56±0.15,0.59±0.20
raad,epitope_group,H2,0.67±0.21,0.46±0.39,1.61±0.28,0.51±0.39,0.63±0.18,0.62±0.42,0.39±0.37,0.69±0.41,0.89±0.23,0.54±0.65,0.64±0.16,0.63±0.19
radab,epitope_group,H2,0.34±0.21,0.20±0.27,0.00±0.00,0.81±0.44,0.42±0.16,0.57±0.40,0.74±0.56,0.64±0.39,0.83±0.27,0.73±0.60,0.56±0.15,0.58±0.20
refinegnn,epitope_group,H2,0.47±0.26,0.23±0.33,4.96±5.28,1.74±0.36,0.23±0.10,0.41±0.39,0.73±0.37,0.53±0.39,0.84±0.27,0.54±0.57,0.45±0.15,0.54±0.20
abdockgen,epitope_group,H3,0.25±0.11,0.10±0.18,7.41±2.65,3.97±1.25,0.05±0.03,0.35±0.27,2.72±1.02,0.52±0.17,0.63±0.26,0.55±0.71,0.34±0.07,0.42±0.19
abflownet,epitope_group,H3,0.22±0.12,0.13±0.18,0.00±0.00,2.70±1.24,0.12±0.12,0.49±0.33,2.37±1.01,0.57±0.22,0.55±0.28,0.46±0.68,0.41±0.11,0.42±0.22
abmedg,epitope_group,H3,0.22±0.11,0.11±0.18,0.00±0.00,2.76±1.26,0.11±0.11,0.50±0.32,2.41±1.04,0.57±0.22,0.56±0.27,0.47±0.72,0.41±0.11,0.43±0.21
abode,epitope_group,H3,0.31±0.13,0.22±0.21,9.99±3.50,16.40±4.67,0.00±0.00,0.08±0.12,5.12±2.24,0.34±0.08,0.20±0.19,0.08±0.27,0.12±0.03,0.13±0.11
diffab,epitope_group,H3,0.22±0.12,0.11±0.18,0.00±0.00,2.64±1.19,0.12±0.12,0.48±0.32,2.27±0.98,0.58±0.23,0.56±0.27,0.62±0.77,0.42±0.11,0.42±0.21
dyab,epitope_group,H3,0.27±0.10,0.12±0.17,1.01±0.00,3.31±0.84,0.05±0.03,0.35±0.28,2.27±0.86,0.54±0.18,0.50±0.32,0.98±0.15,0.37±0.07,0.35±0.23
mean,epitope_group,H3,0.42±0.15,0.21±0.23,3.00±0.61,2.01±0.89,0.19±0.12,0.48±0.31,1.66±0.86,0.63±0.21,0.67±0.29,0.90±0.92,0.47±0.11,0.48±0.22
raad,epitope_group,H3,0.38±0.13,0.21±0.23,3.31±0.47,1.95±0.87,0.21±0.13,0.49±0.30,1.64±0.86,0.64±0.21,0.67±0.27,0.71±0.62,0.48±0.11,0.48±0.20
radab,epitope_group,H3,0.22±0.12,0.09±0.16,0.00±0.00,12.28±75.62,0.11±0.10,0.47±0.32,5.82±31.86,0.57±0.22,0.57±0.28,0.83±0.90,0.40±0.12,0.43±0.21
refinegnn,epitope_group,H3,0.23±0.12,0.17±0.23,7.80±2.73,3.07±0.72,0.09±0.06,0.62±0.20,1.55±0.58,0.71±0.09,0.76±0.10,0.81±0.68,0.44±0.06,0.57±0.09
abflownet,epitope_group,L1,0.54±0.18,0.28±0.35,0.00±0.00,0.99±0.62,0.41±0.19,0.48±0.43,0.92±0.71,0.55±0.41,0.82±0.28,0.20±0.47,0.52±0.16,0.55±0.20
abmedg,epitope_group,L1,0.52±0.17,0.27±0.34,0.00±0.00,1.00±0.55,0.38±0.17,0.47±0.42,0.98±0.75,0.54±0.40,0.82±0.27,0.19±0.45,0.51±0.16,0.55±0.20
diffab,epitope_group,L1,0.55±0.18,0.30±0.35,0.00±0.00,1.03±0.58,0.37±0.15,0.47±0.43,0.97±0.73,0.54±0.40,0.80±0.28,0.24±0.46,0.51±0.16,0.54±0.20
dyab,epitope_group,L1,0.24±0.14,0.19±0.28,1.01±0.00,1.64±0.60,0.20±0.11,0.45±0.41,0.93±0.58,0.54±0.39,0.81±0.30,0.22±0.53,0.45±0.14,0.54±0.21
radab,epitope_group,L1,0.64±0.19,0.32±0.36,0.00±0.00,4.50±34.26,0.31±0.15,0.46±0.42,1.00±0.72,0.53±0.40,0.79±0.30,0.28±0.60,0.48±0.16,0.53±0.21
abflownet,epitope_group,L2,0.51±0.17,0.18±0.32,0.00±0.00,0.49±0.31,0.62±0.16,0.33±0.44,0.52±0.61,0.37±0.45,0.92±0.21,0.09±0.31,0.52±0.17,0.56±0.16
abmedg,epitope_group,L2,0.47±0.16,0.15±0.28,0.00±0.00,0.48±0.28,0.62±0.15,0.34±0.45,0.52±0.60,0.38±0.46,0.92±0.22,0.19±0.46,0.53±0.17,0.56±0.17
diffab,epitope_group,L2,0.50±0.17,0.17±0.31,0.00±0.00,2.03±25.85,0.58±0.15,0.35±0.46,0.51±0.56,0.38±0.46,0.93±0.20,0.15±0.42,0.51±0.17,0.57±0.17
dyab,epitope_group,L2,0.46±0.25,0.06±0.20,1.01±0.00,1.11±0.17,0.23±0.04,0.18±0.37,0.63±0.79,0.22±0.38,0.89±0.30,0.03±0.23,0.36±0.13,0.50±0.19
radab,epitope_group,L2,0.50±0.19,0.17±0.31,0.00±0.00,1.49±14.46,0.49±0.14,0.31±0.43,0.57±0.56,0.36±0.44,0.91±0.22,0.16±0.45,0.48±0.17,0.55±0.16
abflownet,epitope_group,L3,0.40±0.16,0.15±0.24,0.00±0.00,0.96±0.52,0.38±0.16,0.46±0.44,0.88±0.60,0.50±0.43,0.65±0.40,0.30±0.52,0.50±0.17,0.46±0.28
abmedg,epitope_group,L3,0.38±0.15,0.15±0.24,0.00±0.00,1.09±0.51,0.33±0.13,0.44±0.44,1.07±0.64,0.48±0.41,0.64±0.39,0.30±0.53,0.47±0.16,0.45±0.27
diffab,epitope_group,L3,0.43±0.16,0.16±0.26,0.00±0.00,0.96±0.55,0.39±0.16,0.43±0.44,0.93±0.67,0.49±0.42,0.66±0.40,0.40±0.56,0.50±0.17,0.46±0.29
dyab,epitope_group,L3,0.26±0.12,0.17±0.26,1.01±0.00,1.37±0.43,0.21±0.08,0.45±0.42,0.87±0.58,0.54±0.40,0.83±0.29,0.87±0.33,0.46±0.15,0.55±0.21
radab,epitope_group,L3,0.42±0.19,0.14±0.25,0.00±0.00,1.10±0.52,0.31±0.13,0.40±0.41,0.99±0.67,0.48±0.41,0.67±0.39,0.46±0.67,0.47±0.15,0.46±0.27
abflownet,antigen_fold,H1,0.57±0.20,0.24±0.33,0.00±0.00,0.80±0.57,0.46±0.18,0.43±0.45,0.52±0.43,0.49±0.45,0.84±0.32,0.05±0.24,0.52±0.18,0.55±0.23
abmedg,antigen_fold,H1,0.61±0.18,0.23±0.31,0.00±0.00,0.82±0.58,0.45±0.18,0.45±0.46,0.51±0.40,0.50±0.46,0.84±0.32,0.06±0.24,0.51±0.18,0.55±0.24
abode,antigen_fold,H1,0.45±0.16,0.11±0.21,6.20±3.12,4.82±0.47,0.02±0.00,0.39±0.40,1.95±0.65,0.44±0.33,0.45±0.36,0.00±0.00,0.29±0.12,0.34±0.25
diffab,antigen_fold,H1,0.59±0.19,0.22±0.32,0.00±0.00,0.84±0.59,0.44±0.18,0.47±0.46,0.50±0.42,0.50±0.46,0.81±0.33,0.04±0.22,0.52±0.18,0.55±0.24
dyab,antigen_fold,H1,0.52±0.18,0.23±0.30,1.00±0.01,1.70±0.41,0.13±0.03,0.51±0.44,0.79±0.51,0.58±0.41,0.83±0.31,0.09±0.28,0.44±0.14,0.57±0.23
dymean,antigen_fold,H1,0.67±0.18,0.33±0.37,1.52±0.22,0.99±0.61,0.36±0.13,0.55±0.45,0.64±0.69,0.61±0.43,0.84±0.30,0.04±0.20,0.53±0.16,0.58±0.23
mean,antigen_fold,H1,0.68±0.18,0.33±0.38,1.54±0.23,0.77±0.61,0.49±0.18,0.57±0.45,0.48±0.46,0.63±0.43,0.87±0.27,0.05±0.26,0.57±0.17,0.61±0.21
raad,antigen_fold,H1,0.69±0.19,0.35±0.38,1.45±0.23,0.54±0.58,0.65±0.22,0.63±0.45,0.32±0.39,0.65±0.45,0.92±0.21,0.12±0.40,0.63±0.18,0.65±0.19
radab,antigen_fold,H1,0.65±0.19,0.26±0.34,0.00±0.00,3.18±38.81,0.41±0.18,0.44±0.45,1.31±9.63,0.49±0.45,0.82±0.33,0.08±0.29,0.50±0.18,0.54±0.24
refinegnn,antigen_fold,H1,0.64±0.23,0.20±0.32,2.44±1.61,2.58±0.21,0.10±0.04,0.29±0.36,1.40±0.48,0.39±0.35,0.80±0.32,0.20±0.47,0.35±0.12,0.49±0.21
abflownet,antigen_fold,H2,0.28±0.17,0.12±0.21,0.00±0.00,0.82±0.54,0.46±0.18,0.43±0.41,0.79±0.73,0.57±0.39,0.83±0.30,0.40±0.59,0.54±0.15,0.54±0.22
abmedg,antigen_fold,H2,0.28±0.18,0.16±0.25,0.00±0.00,0.71±0.50,0.51±0.19,0.49±0.43,0.72±0.71,0.59±0.41,0.84±0.29,0.57±0.68,0.57±0.16,0.57±0.22
abode,antigen_fold,H2,0.47±0.16,0.27±0.30,6.41±4.56,7.27±1.05,0.01±0.00,0.20±0.28,3.43±1.79,0.38±0.25,0.57±0.38,0.36±0.51,0.20±0.09,0.34±0.22
diffab,antigen_fold,H2,0.26±0.17,0.12±0.22,0.00±0.00,0.90±0.60,0.44±0.19,0.50±0.43,0.70±0.68,0.59±0.41,0.86±0.27,0.39±0.54,0.55±0.15,0.58±0.21
dyab,antigen_fold,H2,0.41±0.15,0.16±0.23,1.00±0.01,1.72±0.26,0.11±0.02,0.34±0.38,1.09±0.55,0.50±0.35,0.71±0.37,1.00±0.00,0.41±0.12,0.46±0.25
dymean,antigen_fold,H2,0.53±0.19,0.29±0.34,1.95±0.27,1.37±0.33,0.21±0.06,0.40±0.41,0.99±0.81,0.54±0.38,0.78±0.35,0.48±0.51,0.46±0.13,0.51±0.25
mean,antigen_fold,H2,0.54±0.21,0.31±0.35,1.99±0.43,1.01±0.36,0.35±0.11,0.52±0.43,0.61±0.39,0.60±0.41,0.86±0.27,0.50±0.65,0.52±0.15,0.59±0.21
raad,antigen_fold,H2,0.60±0.20,0.37±0.38,1.69±0.29,0.49±0.34,0.64±0.16,0.59±0.44,0.33±0.34,0.65±0.43,0.93±0.20,0.61±0.67,0.63±0.16,0.64±0.18
radab,antigen_fold,H2,0.36±0.22,0.23±0.32,0.00±0.00,0.86±0.59,0.45±0.19,0.50±0.43,0.71±0.69,0.59±0.41,0.84±0.29,0.53±0.57,0.55±0.15,0.57±0.22
refinegnn,antigen_fold,H2,0.37±0.21,0.26±0.33,4.63±2.50,2.16±0.36,0.16±0.09,0.38±0.36,0.92±0.58,0.56±0.35,0.84±0.28,0.48±0.59,0.43±0.12,0.54±0.20
abdockgen,antigen_fold,H3,0.19±0.09,0.14±0.12,7.86±1.88,3.67±0.46,0.05±0.03,0.30±0.31,2.42±0.57,0.36±0.31,0.66±0.35,0.20±0.40,0.30±0.11,0.42±0.22
abflownet,antigen_fold,H3,0.23±0.12,0.13±0.18,0.00±0.00,2.70±5.36,0.16±0.14,0.56±0.34,2.46±4.31,0.60±0.26,0.65±0.30,0.61±0.81,0.44±0.13,0.50±0.23
abmedg,antigen_fold,H3,0.24±0.13,0.13±0.20,0.00±0.00,2.25±1.06,0.16±0.15,0.55±0.34,2.13±0.94,0.59±0.25,0.65±0.30,0.64±0.76,0.44±0.12,0.49±0.23
abode,antigen_fold,H3,0.27±0.13,0.18±0.20,10.78±3.13,13.17±4.81,0.01±0.01,0.16±0.22,4.00±1.79,0.39±0.16,0.40±0.36,0.20±0.51,0.16±0.08,0.25±0.23
diffab,antigen_fold,H3,0.23±0.12,0.10±0.15,0.00±0.00,2.24±1.02,0.15±0.13,0.52±0.34,2.10±0.89,0.58±0.25,0.65±0.30,0.70±0.77,0.44±0.12,0.48±0.23
dyab,antigen_fold,H3,0.28±0.11,0.17±0.21,1.00±0.01,2.40±0.81,0.10±0.05,0.56±0.33,1.81±0.81,0.65±0.21,0.72±0.29,0.92±0.27,0.44±0.09,0.53±0.22
dymean,antigen_fold,H3,0.37±0.13,0.20±0.23,3.35±0.66,2.06±0.83,0.16±0.09,0.61±0.31,1.79±0.82,0.66±0.20,0.75±0.25,0.21±0.41,0.47±0.09,0.56±0.19
mean,antigen_fold,H3,0.40±0.14,0.20±0.23,2.79±0.57,1.66±0.64,0.23±0.11,0.62±0.32,1.42±0.61,0.70±0.21,0.78±0.26,0.38±0.70,0.51±0.10,0.58±0.20
raad,antigen_fold,H3,0.38±0.13,0.20±0.21,3.06±0.49,1.65±0.70,0.24±0.13,0.62±0.31,1.42±0.62,0.70±0.21,0.78±0.25,0.59±0.60,0.51±0.10,0.58±0.19
radab,antigen_fold,H3,0.25±0.13,0.12±0.17,0.00±0.00,7.79±41.92,0.14±0.13,0.51±0.33,4.78±22.78,0.57±0.26,0.65±0.31,0.57±0.79,0.42±0.13,0.48±0.23
refinegnn,antigen_fold,H3,0.26±0.13,0.12±0.16,8.17±3.99,2.59±0.65,0.10±0.06,0.60±0.32,1.35±0.54,0.68±0.22,0.80±0.26,0.59±0.90,0.45±0.09,0.58±0.20
abflownet,antigen_fold,L1,0.49±0.17,0.23±0.33,0.00±0.00,3.15±32.08,0.29±0.12,0.33±0.40,5.15±53.16,0.46±0.38,0.75±0.37,0.36±0.59,0.45±0.14,0.47±0.25
abmedg,antigen_fold,L1,0.52±0.16,0.25±0.34,0.00±0.00,1.03±0.55,0.37±0.15,0.38±0.42,1.06±0.84,0.50±0.40,0.80±0.33,0.42±0.67,0.49±0.15,0.51±0.23
diffab,antigen_fold,L1,0.51±0.17,0.23±0.33,0.00±0.00,1.17±0.59,0.32±0.15,0.35±0.41,1.13±0.84,0.48±0.39,0.78±0.35,0.27±0.52,0.47±0.15,0.49±0.24
dyab,antigen_fold,L1,0.35±0.17,0.26±0.34,1.00±0.01,1.60±0.54,0.20±0.11,0.36±0.42,0.89±0.57,0.50±0.39,0.80±0.34,0.26±0.44,0.43±0.14,0.51±0.24
radab,antigen_fold,L1,0.66±0.20,0.34±0.39,0.00±0.00,2.23±10.92,0.24±0.13,0.42±0.44,1.19±0.82,0.50±0.40,0.78±0.31,0.45±0.79,0.44±0.15,0.52±0.21
abflownet,antigen_fold,L2,0.42±0.17,0.07±0.22,0.00±0.00,0.54±0.23,0.56±0.12,0.21±0.39,0.49±0.57,0.25±0.40,0.93±0.22,0.13±0.38,0.47±0.15,0.53±0.16
abmedg,antigen_fold,L2,0.49±0.15,0.08±0.24,0.00±0.00,0.49±0.26,0.60±0.15,0.21±0.39,0.46±0.54,0.25±0.41,0.93±0.22,0.17±0.47,0.48±0.15,0.53±0.16
diffab,antigen_fold,L2,0.45±0.17,0.09±0.26,0.00±0.00,0.54±0.24,0.56±0.12,0.21±0.38,0.48±0.62,0.25±0.40,0.93±0.21,0.17±0.46,0.47±0.15,0.53±0.15
dyab,antigen_fold,L2,0.46±0.24,0.02±0.10,1.00±0.01,0.56±0.22,0.53±0.11,0.17±0.37,0.48±0.80,0.20±0.38,0.94±0.23,0.02±0.13,0.44±0.14,0.52±0.16
radab,antigen_fold,L2,0.51±0.18,0.09±0.26,0.00±0.00,0.73±0.26,0.44±0.12,0.22±0.40,0.47±0.49,0.26±0.41,0.93±0.23,0.17±0.44,0.43±0.15,0.53±0.16
abflownet,antigen_fold,L3,0.40±0.15,0.16±0.23,0.00±0.00,1.02±0.55,0.34±0.14,0.58±0.44,1.06±0.59,0.57±0.41,0.66±0.38,0.37±0.56,0.51±0.15,0.50±0.28
abmedg,antigen_fold,L3,0.38±0.16,0.16±0.21,0.00±0.00,1.03±0.54,0.34±0.13,0.52±0.42,1.00±0.63,0.56±0.40,0.69±0.38,0.42±0.59,0.50±0.15,0.50±0.28
diffab,antigen_fold,L3,0.39±0.16,0.17±0.24,0.00±0.00,1.11±0.50,0.31±0.13,0.48±0.41,1.08±0.58,0.54±0.39,0.66±0.38,0.40±0.57,0.49±0.14,0.48±0.27
dyab,antigen_fold,L3,0.24±0.11,0.13±0.20,1.00±0.01,1.42±0.53,0.21±0.08,0.60±0.40,0.97±0.54,0.64±0.36,0.86±0.24,0.94±0.24,0.49±0.13,0.61±0.19
radab,antigen_fold,L3,0.47±0.18,0.22±0.29,0.00±0.00,7.86±58.16,0.31±0.14,0.44±0.40,4.65±39.96,0.52±0.39,0.66±0.39,0.50±0.66,0.48±0.15,0.46±0.28
abflownet,temporal,H1,0.59±0.19,0.25±0.33,0.00±0.00,0.81±0.58,0.46±0.20,0.45±0.44,0.59±0.54,0.51±0.44,0.86±0.26,0.09±0.29,0.52±0.17,0.57±0.20
abmedg,temporal,H1,0.57±0.19,0.22±0.32,0.00±0.00,0.84±0.56,0.44±0.18,0.49±0.46,0.59±0.48,0.52±0.45,0.85±0.28,0.06±0.23,0.52±0.17,0.57±0.21
abode,temporal,H1,0.56±0.18,0.27±0.34,4.53±3.22,4.86±0.78,0.02±0.01,0.37±0.39,1.77±0.82,0.44±0.34,0.41±0.35,0.00±0.00,0.29±0.12,0.32±0.24
diffab,temporal,H1,0.62±0.20,0.24±0.33,0.00±0.00,0.75±0.56,0.49±0.20,0.49±0.46,0.54±0.49,0.53±0.45,0.86±0.27,0.03±0.18,0.54±0.17,0.58±0.21
dyab,temporal,H1,0.41±0.13,0.21±0.30,1.02±0.00,2.04±0.29,0.11±0.03,0.33±0.38,1.05±0.60,0.48±0.37,0.74±0.35,0.08±0.26,0.39±0.13,0.47±0.23
mean,temporal,H1,0.69±0.18,0.33±0.37,1.49±0.22,0.84±0.56,0.44±0.19,0.53±0.45,0.53±0.42,0.58±0.44,0.88±0.24,0.05±0.23,0.54±0.16,0.60±0.19
radab,temporal,H1,0.63±0.21,0.27±0.35,0.00±0.00,6.28±50.86,0.40±0.17,0.42±0.44,3.20±33.32,0.50±0.43,0.83±0.29,0.07±0.26,0.50±0.17,0.54±0.21
refinegnn,temporal,H1,0.61±0.21,0.26±0.34,2.67±2.17,0.69±0.64,0.57±0.24,0.53±0.46,0.36±0.39,0.57±0.46,0.93±0.19,0.15±0.43,0.57±0.18,0.62±0.18
abflownet,temporal,H2,0.29±0.18,0.14±0.22,0.00±0.00,0.94±0.54,0.39±0.18,0.45±0.39,0.85±0.61,0.57±0.38,0.81±0.30,0.46±0.58,0.52±0.15,0.54±0.21
abmedg,temporal,H2,0.29±0.17,0.16±0.25,0.00±0.00,0.72±0.42,0.46±0.16,0.49±0.41,0.78±0.68,0.59±0.40,0.84±0.27,0.45±0.60,0.55±0.15,0.57±0.20
abode,temporal,H2,0.46±0.16,0.23±0.27,6.65±3.54,7.01±0.75,0.01±0.00,0.19±0.26,2.90±1.47,0.36±0.25,0.54±0.39,0.78±0.71,0.21±0.09,0.33±0.22
diffab,temporal,H2,0.31±0.17,0.16±0.23,0.00±0.00,0.61±0.50,0.57±0.20,0.51±0.42,0.70±0.66,0.60±0.41,0.84±0.28,0.80±0.64,0.59±0.16,0.57±0.21
dyab,temporal,H2,0.33±0.11,0.13±0.19,1.02±0.00,1.76±0.21,0.11±0.02,0.36±0.36,1.14±0.44,0.51±0.34,0.72±0.34,0.99±0.08,0.41±0.12,0.47±0.22
dymean,temporal,H2,0.62±0.21,0.40±0.39,1.57±0.31,0.89±0.35,0.35±0.11,0.50±0.43,0.99±1.05,0.58±0.40,0.80±0.31,0.58±0.66,0.52±0.15,0.55±0.22
mean,temporal,H2,0.56±0.19,0.32±0.35,1.88±0.36,0.95±0.36,0.34±0.12,0.44±0.38,0.69±0.33,0.58±0.39,0.82±0.29,0.61±0.75,0.51±0.15,0.54±0.20
raad,temporal,H2,0.61±0.19,0.37±0.36,1.64±0.28,0.48±0.36,0.65±0.17,0.60±0.43,0.37±0.30,0.65±0.43,0.92±0.19,0.60±0.62,0.63±0.16,0.64±0.17
radab,temporal,H2,0.36±0.20,0.22±0.28,0.00±0.00,5.71±61.35,0.48±0.17,0.56±0.44,4.93±53.07,0.61±0.42,0.79±0.31,0.42±0.52,0.56±0.16,0.57±0.24
refinegnn,temporal,H2,0.37±0.23,0.23±0.30,4.01±3.09,0.48±0.44,0.65±0.19,0.66±0.44,0.27±0.30,0.68±0.44,0.95±0.18,0.45±0.54,0.64±0.17,0.67±0.17
abdockgen,temporal,H3,0.23±0.10,0.08±0.13,8.35±2.65,4.65±1.27,0.03±0.02,0.34±0.22,3.15±1.18,0.50±0.14,0.60±0.25,0.67±0.87,0.32±0.06,0.40±0.16
abflownet,temporal,H3,0.23±0.12,0.13±0.19,0.00±0.00,2.67±2.79,0.13±0.11,0.52±0.32,2.33±1.98,0.61±0.20,0.61±0.26,0.45±0.70,0.43±0.11,0.46±0.21
abmedg,temporal,H3,0.23±0.11,0.12±0.17,0.00±0.00,2.72±2.42,0.12±0.10,0.55±0.31,2.35±1.67,0.62±0.20,0.58±0.26,0.63±0.83,0.43±0.10,0.46±0.20
abode,temporal,H3,0.37±0.13,0.19±0.22,9.26±4.09,15.63±4.55,0.00±0.00,0.07±0.12,4.65±2.22,0.35±0.10,0.19±0.22,0.83±0.39,0.13±0.04,0.12±0.13
diffab,temporal,H3,0.23±0.11,0.12±0.17,0.00±0.00,2.46±1.05,0.13±0.10,0.51±0.30,2.18±0.95,0.61±0.19,0.61±0.26,0.74±0.84,0.43±0.10,0.46±0.20
dyab,temporal,H3,0.29±0.11,0.15±0.20,1.02±0.00,2.89±0.88,0.07±0.03,0.51±0.29,1.92±0.82,0.64±0.16,0.65±0.28,0.00±0.00,0.42±0.07,0.48±0.21
dymean,temporal,H3,0.35±0.13,0.20±0.22,3.28±0.42,2.32±0.97,0.15±0.10,0.50±0.30,2.00±0.92,0.63±0.17,0.64±0.26,0.99±0.71,0.45±0.09,0.47±0.21
mean,temporal,H3,0.39±0.13,0.22±0.23,3.31±0.53,1.84±0.68,0.20±0.09,0.60±0.29,1.44±0.66,0.71±0.16,0.73±0.23,0.66±0.66,0.50±0.08,0.55±0.18
raad,temporal,H3,0.38±0.13,0.20±0.22,3.24±0.44,1.81±0.76,0.22±0.12,0.61±0.28,1.46±0.70,0.71±0.16,0.74±0.23,0.77±0.65,0.51±0.09,0.55±0.18
radab,temporal,H3,0.22±0.12,0.10±0.16,0.00±0.00,11.57±49.30,0.10±0.09,0.48±0.33,7.91±34.02,0.57±0.23,0.57±0.28,0.41±0.59,0.40±0.14,0.43±0.22
refinegnn,temporal,H3,0.23±0.14,0.13±0.18,7.91±3.20,2.85±0.88,0.09±0.05,0.65±0.27,1.38±0.77,0.73±0.16,0.78±0.20,0.64±0.79,0.46±0.07,0.58±0.16
abflownet,temporal,L1,0.50±0.17,0.21±0.31,0.00±0.00,1.03±0.58,0.38±0.16,0.36±0.41,1.06±0.87,0.48±0.40,0.78±0.33,0.38±0.62,0.49±0.15,0.50±0.23
abmedg,temporal,L1,0.53±0.17,0.23±0.33,0.00±0.00,1.14±0.66,0.34±0.16,0.36±0.41,1.18±0.90,0.47±0.39,0.74±0.36,0.35±0.61,0.47±0.15,0.48±0.24
diffab,temporal,L1,0.55±0.17,0.23±0.32,0.00±0.00,0.96±0.56,0.40±0.17,0.34±0.40,1.00±0.84,0.48±0.39,0.78±0.34,0.32±0.53,0.49±0.15,0.49±0.23
dyab,temporal,L1,0.29±0.16,0.20±0.31,1.02±0.00,1.69±0.62,0.16±0.09,0.36±0.40,0.93±0.56,0.48±0.39,0.78±0.33,0.18±0.39,0.42±0.14,0.50±0.22
radab,temporal,L1,0.61±0.22,0.30±0.37,0.00±0.00,6.49±43.37,0.30±0.15,0.44±0.44,2.06±6.45,0.49±0.41,0.72±0.36,0.29±0.56,0.46±0.17,0.49±0.25
abflownet,temporal,L2,0.44±0.16,0.09±0.25,0.00±0.00,0.57±0.29,0.55±0.15,0.26±0.42,0.50±0.63,0.29±0.43,0.91±0.25,0.17±0.42,0.47±0.16,0.53±0.18
abmedg,temporal,L2,0.46±0.16,0.09±0.23,0.00±0.00,0.54±0.29,0.58±0.15,0.23±0.39,0.54±0.57,0.28±0.41,0.91±0.24,0.09±0.32,0.48±0.15,0.52±0.17
